,negativos,positivos
0,dirigida hacienda,intervenir pausa
1,referencia sometemo,derecha europea
2,nombr feder,continuamo mardon
3,formula lui,hinojosa lucena
4,cultura deport,motivo pausa
5,referido senado,vo to
6,plural medida,congreso acuerd
7,guard adelant,cd defensa
8,transaccion conocen,lamento tiempo
9,dirigida conform,consiguient desestimada
10,ciudadano adelant,ro expedient
11,industria competitividad,pausa quiera
12,dirigida ahora,mero expedient
13,derivado debat,catalana pausa
14,formula carlo,turismo comercio
15,sometemo toma,fijar pausa
16,formula iñaki,republicano acuerd
17,ahora dirigida,cd pausa
18,compani nombr,acuerdo dictamen
19,vicepresident interpelacion,conform dictamen
