,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:
0,gra cia,guardia civil,corporacion local,tiempo minuto,buena tard,presupuesto general,presi dent,enmien da,medio ambient,puesto trabajo
1,derecho humano,sistema nacion,vaya terminando,comunitat autònom,2015 diario,presu puesto,go bierno,poder judici,medio rural,reforma labor
2,fuerza armada,nacion salud,entidad local,senyor presid,2022 diario,alta velocidad,parla mentario,tribun constitucion,agricultura pesca,pequeña mediana
3,cia senador,cuerpo seguridad,impuesto renta,estat espanyol,eskerrik asko,pre supuesto,pre sident,pro yecto,sector agrario,mediana empresa
4,ceuta melilla,fuerza cuerpo,estabilidad presupuestaria,grup parlamentari,2021 diario,proyecto presupuesto,mo mento,gru po,mundo rural,mercado trabajo
5,cort general,aplauso escaño,impuesto sociedad,vaya concluyendo,tribun constitucion,ministerio fomento,pro blema,consejo gener,ministerio agricultura,pacto toledo
6,asunto exterior,ministerio interior,fraud fiscal,aquest moment,2018 diario,medio ambient,co munidad,parla mentario,agricultor ganadero,ill balear
7,hombr mujer,ministerio sanidad,renta persona,senador senador,2017 diario,presupu to,so bre,pre sident,pasamo portavoc,mercado labor
8,servicio militar,sanidad consumo,im puesto,acord amb,2020 diario,sistema educativo,cualquier caso,senador dorrego,desarrollo rural,pre sident
9,entesa pel,sistema sanitario,reforma fiscal,aquest sentit,persona discapacidad,pre sident,parlamenta rio,presi dent,sector pesquero,poder adquisitivo
10,reino unido,tribun cuenta,presupuesto general,senador mulet,llegar acuerdo,alto cargo,sena dor,hace referencia,incendio forestal,sistema financiero
11,tan important,ministerio fiscal,tribun cuenta,nostr grup,derecho humano,ministerio obra,impor tant,texto proyecto,senador iglesia,crear empleo
12,ministerio defensa,ocupa presidencia,agencia tributaria,pel fa,poder judici,ministerio cultura,socia lista,gener poder,defensa senador,tiempo parcial
13,medio ambient,protesta escaño,hacienda local,aquesta cambra,toda persona,partida presupuestaria,nue tro,cort general,propiedad intelectu,isla balear
14,tener cuenta,fiscal gener,municipio provincia,unido podemo,entesa catalana,presupuesto ministerio,parlamen tario,gra cia,desea intervenir,activa empleo
15,ofici cort,asistencia sanitaria,sistema fiscal,tot això,quiero agradec,millo ne,im portant,texto dictamen,pueda prestar,tra bajador
16,parlamento europeo,fuerza seguridad,beneficio fiscal,hem presentat,niño niña,go bierno,so cialista,competencia exclusiva,autoriza acto,estatuto trabajador
17,central nuclear,senador interpelant,fiscal financiera,ill balear,2023 diario,interior bruto,us ted,co munidad,obligars medio,tasa paro
18,ocupa presidencia,consejo interterritori,lucha fraud,aquest ca,cualquier caso,gasto corrient,mismo tiempo,parlamen tario,acto pueda,relacion laboral
19,hace falta,cuenta gener,base impon,senadora rivero,derecho fundamental,producto interior,tener cuenta,senador fuent,cort general,sistema seguridad
